# Data Wilayah Indonesia
# Format: id,provinsi,nama,tipe,latitude,longitude,zonaWaktu
# Tipe: KOTA atau KABUPATEN
# ZonaWaktu: Asia/Jakarta (WIB), Asia/Makassar (WITA), Asia/Jayapura (WIT)
#
# Data ini mencakup semua provinsi dan wilayah utama di Indonesia
# Koordinat digunakan untuk perhitungan waktu sholat yang akurat

# === ACEH ===
1101,Aceh,Banda Aceh,KOTA,5.5483,95.3238,Asia/Jakarta
1102,Aceh,Sabang,KOTA,5.8946,95.3238,Asia/Jakarta
1103,Aceh,Langsa,KOTA,4.4683,97.9683,Asia/Jakarta
1104,Aceh,Lhokseumawe,KOTA,5.1801,97.1507,Asia/Jakarta
1105,Aceh,Subulussalam,KOTA,2.6417,98.0000,Asia/Jakarta
1106,Aceh,Aceh Besar,KABUPATEN,5.3800,95.5200,Asia/Jakarta
1107,Aceh,Aceh Utara,KABUPATEN,5.0000,97.1400,Asia/Jakarta
1108,Aceh,Aceh Timur,KABUPATEN,4.6000,97.8000,Asia/Jakarta
1109,Aceh,Aceh Selatan,KABUPATEN,3.1700,97.4000,Asia/Jakarta
1110,Aceh,Aceh Barat,KABUPATEN,4.4500,96.1700,Asia/Jakarta

# === SUMATERA UTARA ===
1201,Sumatera Utara,Medan,KOTA,3.5952,98.6722,Asia/Jakarta
1202,Sumatera Utara,Binjai,KOTA,3.6003,98.4854,Asia/Jakarta
1203,Sumatera Utara,Tebing Tinggi,KOTA,3.3283,99.1617,Asia/Jakarta
1204,Sumatera Utara,Pematangsiantar,KOTA,2.9595,99.0687,Asia/Jakarta
1205,Sumatera Utara,Tanjung Balai,KOTA,2.9667,99.8000,Asia/Jakarta
1206,Sumatera Utara,Sibolga,KOTA,1.7427,98.7792,Asia/Jakarta
1207,Sumatera Utara,Padang Sidempuan,KOTA,1.3792,99.2750,Asia/Jakarta
1208,Sumatera Utara,Gunungsitoli,KOTA,1.2833,97.6167,Asia/Jakarta
1209,Sumatera Utara,Deli Serdang,KABUPATEN,3.4200,98.9000,Asia/Jakarta
1210,Sumatera Utara,Langkat,KABUPATEN,3.7500,98.2700,Asia/Jakarta
1211,Sumatera Utara,Karo,KABUPATEN,3.1200,98.3900,Asia/Jakarta
1212,Sumatera Utara,Asahan,KABUPATEN,2.9800,99.6500,Asia/Jakarta
1213,Sumatera Utara,Simalungun,KABUPATEN,2.9700,99.0000,Asia/Jakarta
1214,Sumatera Utara,Tapanuli Utara,KABUPATEN,2.0800,98.9400,Asia/Jakarta
1215,Sumatera Utara,Tapanuli Tengah,KABUPATEN,1.9200,98.6900,Asia/Jakarta

# === SUMATERA BARAT ===
1301,Sumatera Barat,Padang,KOTA,-0.9471,100.4172,Asia/Jakarta
1302,Sumatera Barat,Bukittinggi,KOTA,-0.3050,100.3692,Asia/Jakarta
1303,Sumatera Barat,Payakumbuh,KOTA,-0.2167,100.6333,Asia/Jakarta
1304,Sumatera Barat,Padang Panjang,KOTA,-0.4667,100.4167,Asia/Jakarta
1305,Sumatera Barat,Solok,KOTA,-0.7900,100.6533,Asia/Jakarta
1306,Sumatera Barat,Pariaman,KOTA,-0.6167,100.1167,Asia/Jakarta
1307,Sumatera Barat,Agam,KABUPATEN,-0.2500,100.3000,Asia/Jakarta
1308,Sumatera Barat,Pasaman,KABUPATEN,0.2000,99.7500,Asia/Jakarta
1309,Sumatera Barat,Lima Puluh Kota,KABUPATEN,-0.0800,100.5700,Asia/Jakarta
1310,Sumatera Barat,Tanah Datar,KABUPATEN,-0.4700,100.5700,Asia/Jakarta

# === RIAU ===
1401,Riau,Pekanbaru,KOTA,0.5071,101.4478,Asia/Jakarta
1402,Riau,Dumai,KOTA,1.6667,101.4500,Asia/Jakarta
1403,Riau,Bengkalis,KABUPATEN,1.4833,102.0833,Asia/Jakarta
1404,Riau,Indragiri Hilir,KABUPATEN,-0.3333,103.1667,Asia/Jakarta
1405,Riau,Indragiri Hulu,KABUPATEN,-0.5500,102.3500,Asia/Jakarta
